# Market-cap classification derived from NSE Indices constituent lists (2026-08-28).
# Source (SEBI/AMFI methodology equivalent):
#   Nifty 100          -> LARGE_CAP (top 100 by full market cap)
#   Nifty Midcap 150   -> MID_CAP   (ranks 101-250)
#   Nifty Smallcap 250 -> SMALL_CAP (ranks 251-500)
# Refresh: rerun tools/build-marketcap.py against the latest
# niftyindices.com/IndexConstituent/ind_nifty*list.csv files, then
# POST /admin/reload-classifications (hot-reload, no restart).
SYMBOL,CATEGORY
GRASIM,LARGE_CAP
GRAVITA,SMALL_CAP
GROWW,MID_CAP
GRSE,SMALL_CAP
GVT&D,MID_CAP
HAL,LARGE_CAP
HAVELLS,MID_CAP
HBLENGINE,SMALL_CAP
HCLTECH,LARGE_CAP
HDBFS,MID_CAP
HDFCAMC,LARGE_CAP
HDFCBANK,LARGE_CAP
HDFCLIFE,LARGE_CAP
HEG,SMALL_CAP
HEROMOTOCO,MID_CAP
HEXT,MID_CAP
HFCL,SMALL_CAP
HINDALCO,LARGE_CAP
HINDCOPPER,SMALL_CAP
HINDPETRO,MID_CAP
HINDUNILVR,LARGE_CAP
HINDZINC,LARGE_CAP
HOMEFIRST,SMALL_CAP
HONASA,SMALL_CAP
HONAUT,MID_CAP
HSCL,SMALL_CAP
HUDCO,MID_CAP
HYUNDAI,LARGE_CAP
ICICIAMC,MID_CAP
ICICIBANK,LARGE_CAP
ICICIGI,MID_CAP
ICICIPRULI,MID_CAP
IDBI,SMALL_CAP
IDEA,MID_CAP
IDFCFIRSTB,MID_CAP
IEX,SMALL_CAP
IFCI,SMALL_CAP
IGIL,SMALL_CAP
IGL,SMALL_CAP
IIFL,SMALL_CAP
IKS,SMALL_CAP
INDGN,SMALL_CAP
INDHOTEL,LARGE_CAP
INDIACEM,SMALL_CAP
INDIAMART,SMALL_CAP
INDIANB,MID_CAP
INDIGO,LARGE_CAP
INDUSINDBK,MID_CAP
INDUSTOWER,MID_CAP
INFY,LARGE_CAP
INOXWIND,SMALL_CAP
INTELLECT,SMALL_CAP
IOB,SMALL_CAP
IOC,LARGE_CAP
IPCALAB,MID_CAP
IRB,SMALL_CAP
IRCON,SMALL_CAP
IRCTC,MID_CAP
IREDA,MID_CAP
IRFC,LARGE_CAP
ITC,LARGE_CAP
ITCHOTELS,MID_CAP
ITI,SMALL_CAP
J&KBANK,SMALL_CAP
JAINREC,SMALL_CAP
JBMA,SMALL_CAP
JINDALSAW,SMALL_CAP
JINDALSTEL,LARGE_CAP
JIOFIN,LARGE_CAP
JKCEMENT,MID_CAP
JKTYRE,SMALL_CAP
JMFINANCIL,SMALL_CAP
JPPOWER,SMALL_CAP
JSL,MID_CAP
JSWCEMENT,SMALL_CAP
JSWDULUX,SMALL_CAP
JSWENERGY,MID_CAP
JSWINFRA,MID_CAP
JSWSTEEL,LARGE_CAP
JUBLFOOD,MID_CAP
JUBLINGREA,SMALL_CAP
JUBLPHARMA,SMALL_CAP
JWL,SMALL_CAP
JYOTICNC,SMALL_CAP
KAJARIACER,SMALL_CAP
KALYANKJIL,MID_CAP
KARURVYSYA,SMALL_CAP
KAYNES,SMALL_CAP
KEC,SMALL_CAP
KEI,MID_CAP
KFINTECH,SMALL_CAP
KIMS,SMALL_CAP
KIRLOSENG,SMALL_CAP
KOTAKBANK,LARGE_CAP
KPIL,SMALL_CAP
KPITTECH,MID_CAP
KPRMILL,MID_CAP
LALPATHLAB,SMALL_CAP
LATENTVIEW,SMALL_CAP
LAURUSLABS,MID_CAP
LEMONTREE,SMALL_CAP
LENSKART,MID_CAP
LGEINDIA,MID_CAP
LICHSGFIN,MID_CAP
LICI,MID_CAP
LINDEINDIA,MID_CAP
LLOYDSME,MID_CAP
LODHA,LARGE_CAP
LT,LARGE_CAP
LTF,MID_CAP
LTFOODS,SMALL_CAP
LTM,LARGE_CAP
LTTS,MID_CAP
LUPIN,MID_CAP
M&M,LARGE_CAP
M&MFIN,MID_CAP
MAHABANK,MID_CAP
MANAPPURAM,SMALL_CAP
MANKIND,MID_CAP
MAPMYINDIA,SMALL_CAP
MARICO,MID_CAP
